Index	Titulo	Ano	Duração	Classificação	Avaliação	Escolhido
209	Era uma Vez em Tóquio	1953	2h 16m	10	8.1	N
210	Ford vs Ferrari	2019	2h 32m	12	8.1	N
211	Ratatouille	2007	1h 51m	8	1.0	N
212	O Martírio de Joana D'Arc	1928	1h 50m	14	8.2	N
213	Hotel Ruanda	2004	2h 1m	14	8.1	N
214	Rocky: Um Lutador19762h128.1Rate215. Logan	2017	2h 17m	16	8.1	N
216	Platoon19862h148.1Rate217. Spotlight: Segredos Revelados	2015	2h 9m	12	8.1	N
218	O Exterminador do Futuro	1984	1h 47m	14	8.1	N
219	Jai Bhim20212h 44mTV-MA8.8Rate220. Antes do Pôr do Sol	2004	1h 20m	12	8.1	N
221	Rush: No Limite da Emoção	2013	2h 3m	14	8.1	N
222	Rede de Intrigas	1976	2h 1m	14	8.1	N
223	Conta Comigo	1986	1h 29m	12	8.1	N
224	Os Melhores Anos de Nossa Vida	1946	2h 50m	8	1.0	N
225	O Mágico de Oz	1939	1h 42m	8	1.0	N
226	Na Natureza Selvagem	2007	2h 28m	12	8.1	N
227	O Ódio	1995	1h 38m	16	8.1	N
228	Os Incríveis	2004	1h 55m	8	0.0	N
229	O Exorcista	1973	2h 2m	14	8.1	N
230	Piratas do Caribe: A Maldição do Pérola Negra	2003	2h 23m	14	8.1	N
231	Ser ou Não Ser	1942	1h 39m	8	2.0	N
232	Feitiço do Tempo	1993	1h 41m	12	8.0	N
233	Meu Pai e Meu Filho20051h 52mNot Rated8.2Rate234. A Batalha de Argel	1966	2h 1m	14	8.1	N
235	Sempre ao Seu Lado	2009	1h 33m	8	1.0	N
236	As Vinhas da Ira	1940	2h 9m	12	8.1	N
237	A Criada	2016	2h 25m	18	8.1	N
238	Amores Brutos	2000	2h 34m	16	8.1	N
239	A Canção da Estrada	1955	2h 5m	12	8.2	N
240	Rebeldia Indomável	1967	2h 7m	14	8.1	N
241	Rebecca, a Mulher Inesquecível	1940	2h 10m	12	8.1	N
242	A Noviça Rebelde	1965	2h 52m	8	1.0	N
243	Aconteceu Naquela Noite	1934	1h 45m	8	1.0	N
244	Os Incompreendidos	1959	1h 39m	12	8.1	N
245	O Gigante de Ferro	1999	1h 26m	8	1.0	N
246	Quando Duas Mulheres Pecam	1966	1h 25m	14	8.1	N
247	Histórias Cruzadas	2011	2h 26m	12	8.1	N
248	A Vida de Brian	1979	1h 34m	14	8.0	N
249	Aladdin	1992	1h 30m	8	0.0	N
250	Dança com Lobos	1990	3h 1m	14	8.0	N
